sentence,sentiment,impact,sentiments,impacts,batch,film_title,sentences_nopunc,duplicated
A few spots were boring.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,a few spots were boring,FALSE
" We landed probes on Mars and orbited celestial moons orbiting around other planets, but then again low quality computer generated graphics. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,we landed probes on mars and orbited celestial moons orbiting around other planets but then again low quality computer generated graphics,FALSE
Very dry and unimaginative...........,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster,very dry and unimaginative,FALSE
It seemed a bit repetitive.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,it seemed a bit repetitive,FALSE
I didn't watch it past 4 minutes.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun,i didnt watch it past 4 minutes,FALSE
"Has the general feel of a film you might see in a high school science class, so not too exciting. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Seeing the Beginning of Time,has the general feel of a film you might see in a high school science class so not too exciting,FALSE
Poor sound editing combined with his weak and feckless narration made this otherwise fascinating topic less than captivating to say the least.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Birth of Planet Earth,poor sound editing combined with his weak and feckless narration made this otherwise fascinating topic less than captivating to say the least,FALSE
Each number is given special emphasis conveying the mysticism of boffins and their abstruse methods.,Negative,Engagement with Film,['Negative' 'Neutral' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],1,Seeing the Beginning of Time,each number is given special emphasis conveying the mysticism of boffins and their abstruse methods,FALSE
But the narrator is quite dull to listen to as are the other people who provide some commentary.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,but the narrator is quite dull to listen to as are the other people who provide some commentary,FALSE
The speaker sounds exactly like a monotone Cortana but with no excitement for the topic at hand not does she show emphasis during different scenes.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time,the speaker sounds exactly like a monotone cortana but with no excitement for the topic at hand not does she show emphasis during different scenes,FALSE
"But if would want to learn something, watch the Nova series ""The Planets and another reviewer mention and I agree with it. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],1,Birth of Planet Earth,but if would want to learn something watch the nova series the planets and another reviewer mention and i agree with it,FALSE
"If you're looking for a 3D experience, I say you need to look elsewhere. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk,if youre looking for a 3d experience i say you need to look elsewhere,FALSE
Definitely better that his breathy pontificating voice.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,definitely better that his breathy pontificating voice,FALSE
It seemed there wasn't much video if any of the actual tornado itself in this documentary.,Negative,Engagement with Film,['Negative' 'Negative' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],1,SuperTornado: Anatomy of a Megadisaster,it seemed there wasnt much video if any of the actual tornado itself in this documentary,FALSE
The voice over was so dry and uninteresting.,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,SuperTornado: Anatomy of a Megadisaster,the voice over was so dry and uninteresting,FALSE
" Then I went back, turned off the audio and enabled the captions. ",Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],['Impersonal Report' 'Engagement with Film' 'Engagement with Film'],1,The Jupiter Enigma,then i went back turned off the audio and enabled the captions,FALSE
But this is actually not quite the sequel I was looking for.,Negative,Engagement with Film,['Neutral' 'Negative' 'Negative'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",1,The Jupiter Enigma,but this is actually not quite the sequel i was looking for,FALSE
